,aircraft_roll,aircraft_pitch,aircraft_yaw,aircraft_velocity,aircraft_x,aircraft_y,aircraft_z,model_roll,model_pitch,model_yaw,model_velocity,model_x,model_y,model_z,u_phi,u_theta,u_psi,u_velocity,mpc_roll,mpc_pitch,mpc_yaw,mpc_velocity,mpc_x,mpc_y,mpc_z,mpc_u_phi,mpc_u_theta,mpc_u_psi,mpc_u_velocity
0,0.0014846512349322438,-0.0002804212854243815,-3.0370702743530273,20.941977185522994,-34.84701156616211,371.7838134765625,-127.76388549804688,-0.0014846512349322438,-0.0002804212854243815,-1.6753187060316623,20.941977185522994,371.7838134765625,-34.84701156616211,127.76388549804688,0,0,0,25,-0.0005567442130995914,-0.00012269332797519315,-1.6753604870478203,22.912539704487138,371.553765392699,-37.03939062264274,127.76347173475105,-0.0,0.0,3.0856076055579815,25.0
1,0.0014846512349322438,-0.0002804212854243815,-3.0370702743530273,20.94048145160044,-35.67329406738281,371.90142822265625,-127.80779266357422,-0.0014846512349322438,-0.0002804212854243815,-1.6753187060316623,20.94048145160044,371.90142822265625,-35.67329406738281,127.80779266357422,0,0,0,25,-0.0005567442130995914,-0.00012269332797519315,-1.6753604893328227,22.911770294033147,371.67139150462197,-37.86556476982567,127.80737892218004,-0.0,0.0,3.0842937899310128,25.0
2,0.0018622576026245952,1.3453174688038416e-05,-3.0284409523010254,20.94048145160044,-35.67329406738281,371.90142822265625,-127.80779266357422,-0.0018622576026245952,1.3453174688038416e-05,-1.6839480280836643,20.94048145160044,371.90142822265625,-35.67329406738281,127.80779266357422,0,0,0,25,-0.0006983466009842232,5.886196448351171e-06,-1.6840004385671048,22.911770294033147,371.6524680995316,-37.863496516034104,127.80781251276393,-0.0,0.0,3.0842937899310128,25.0
3,0.0018622576026245952,1.3453174688038416e-05,-3.0284409523010254,20.94048145160044,-35.67329406738281,371.90142822265625,-127.80779266357422,-0.0018622576026245952,1.3453174688038416e-05,-1.6839480280836643,20.94048145160044,371.90142822265625,-35.67329406738281,127.80779266357422,0,0,0,25,-0.0006983466009842232,5.886196448351171e-06,-1.6840004385671048,22.911770294033147,371.6524680995316,-37.863496516034104,127.80781251276393,-0.0,0.0,3.0842937899310128,25.0
4,0.0018622576026245952,1.3453174688038416e-05,-3.0284409523010254,20.93799716421027,-36.50067901611328,372.0115966796875,-127.85169982910156,-0.0018622576026245952,1.3453174688038416e-05,-1.6839480280836643,20.93799716421027,372.0115966796875,-36.50067901611328,127.85169982910156,0,0,0,25,-0.0006983466009842232,5.886196448351171e-06,-1.6840004433282971,22.910492368420922,371.76265698608836,-38.690701667430886,127.8517196765461,-0.0,0.0,3.0829782026689188,25.0
5,0.0020417498890310526,0.00022472470300272107,-3.024195432662964,20.93799716421027,-36.50067901611328,372.0115966796875,-127.85169982910156,-0.0020417498890310526,0.00022472470300272107,-1.6881935477217258,20.93799716421027,372.0115966796875,-36.50067901611328,127.85169982910156,0,0,0,25,-0.0007656562083866447,9.832428250913168e-05,-1.6882510149776164,22.910492368420922,371.75335463947283,-38.68962422186206,127.8520313650521,-0.0,0.0,3.0829782026689188,25.0
6,0.0020417498890310526,0.00022472470300272107,-3.024195432662964,20.93799716421027,-36.50067901611328,372.0115966796875,-127.85169982910156,-0.0020417498890310526,0.00022472470300272107,-1.6881935477217258,20.93799716421027,372.0115966796875,-36.50067901611328,127.85169982910156,0,0,0,25,-0.0007656562083866447,9.832428250913168e-05,-1.6882510149776164,22.910492368420922,371.75335463947283,-38.68962422186206,127.8520313650521,-0.0,0.0,3.0829782026689188,25.0
7,0.0020417498890310526,0.00022472470300272107,-3.024195432662964,20.93748679296027,-36.914737701416016,372.0639343261719,-127.87374114990234,-0.0020417498890310526,0.00022472470300272107,-1.6881935477217258,20.93748679296027,372.0639343261719,-36.914737701416016,127.87374114990234,0,0,0,25,-0.0007656562083866447,9.832428250913168e-05,-1.6882510160501545,22.910229831769687,371.8056966397318,-39.10364598780199,127.87407267986396,-0.0,0.0,3.0823198119077295,25.0
8,0.0023283439222723246,0.0003323838172946125,-3.015568256378174,20.93748679296027,-36.914737701416016,372.0639343261719,-127.87374114990234,-0.0023283439222723246,0.0003323838172946125,-1.6968207240065158,20.93748679296027,372.0639343261719,-36.914737701416016,127.87374114990234,0,0,0,25,-0.0008731289708521217,0.0001454286062745107,-1.6968862589997256,22.910229831769687,371.7868114852058,-39.10133528157855,127.87423150628995,-0.0,0.0,3.0823198119077295,25.0
9,0.0023283439222723246,0.0003323838172946125,-3.015568256378174,20.93748679296027,-36.914737701416016,372.0639343261719,-127.87374114990234,-0.0023283439222723246,0.0003323838172946125,-1.6968207240065158,20.93748679296027,372.0639343261719,-36.914737701416016,127.87374114990234,0,0,0,25,-0.0008731289708521217,0.0001454286062745107,-1.6968862589997256,22.910229831769687,371.7868114852058,-39.10133528157855,127.87423150628995,-0.0,0.0,3.0823198119077295,25.0
10,0.0023283439222723246,0.0003323838172946125,-3.015568256378174,20.937583778094083,-37.74359893798828,372.1630554199219,-127.91788482666016,-0.0023283439222723246,0.0003323838172946125,-1.6968207240065158,20.937583778094083,372.1630554199219,-37.74359893798828,127.91788482666016,0,0,0,25,-0.0008731289708521217,0.0001454286062745107,-1.6968862587673004,22.910279721241814,371.88593169113227,-39.930203526488484,127.91837518473103,-0.0,0.0,3.081001786722782,25.0
